Category,Name,MRP,Discount_Percentage,Available_Quantity,Discounted_Selling_Price,weight_In_Gms,Out_Of_Stock,Quantity,Discount_Amount,Discount %,Total Revenue,Price_Per_Gms,MRP Category
Fruits & Vegetables,Onion,2500.0,16.0,3,2100.0,1000.0,FALSE,1,400.0,0.6,1000.0,2.10,Medium
Fruits & Vegetables,Tomato Hybrid,4200.0,16.0,3,3500.0,1000.0,FALSE,1,700.0,0.8,1000.0,3.50,High
Fruits & Vegetables,Tender Coconut,5100.0,15.0,3,4300.0,58.0,FALSE,1,800.0,1.0,58.0,74.14,High
Fruits & Vegetables,Coriander Leaves,2000.0,15.0,3,1700.0,100.0,FALSE,100,300.0,1.0,10000.0,17.00,Medium
Fruits & Vegetables,Ladies Finger ,1400.0,14.0,3,1200.0,250.0,FALSE,250,200.0,0.8,62500.0,4.80,Low
Fruits & Vegetables,Potato,3500.0,17.0,3,2900.0,1000.0,FALSE,1,600.0,0.7,1000.0,2.90,Medium
Fruits & Vegetables,Lemon,7500.0,16.0,3,6300.0,200.0,FALSE,200,1200.0,1.0,40000.0,31.50,High
Fruits & Vegetables,Watermelon ,5800.0,15.0,3,4900.0,58.0,FALSE,1,900.0,1.0,58.0,84.48,High
Fruits & Vegetables,Capsicum Green ,2300.0,17.0,3,1900.0,250.0,FALSE,250,400.0,0.9,62500.0,7.60,Medium
Fruits & Vegetables,Chilli Green ,1900.0,15.0,3,1600.0,100.0,FALSE,100,300.0,0.9,10000.0,16.00,Low
Fruits & Vegetables,Banana Robusta,2900.0,17.0,3,2400.0,348.0,FALSE,6,500.0,0.9,2088.0,6.90,Medium
Fruits & Vegetables,Garlic Indian ,1100.0,18.0,3,900.0,100.0,FALSE,100,200.0,0.9,10000.0,9.00,Low
Fruits & Vegetables,Cauliflower,2600.0,15.0,3,2200.0,58.0,FALSE,1,400.0,1.0,58.0,37.93,Medium
Fruits & Vegetables,Ginger,1400.0,14.0,3,1200.0,200.0,FALSE,200,200.0,0.9,40000.0,6.00,Low
Fruits & Vegetables,Spinach,1900.0,15.0,3,1600.0,250.0,FALSE,250,300.0,0.9,62500.0,6.40,Low
